V : 0.08  , I : 0.65  , P : 0.05  , D : 0.00
V : 19.18  , I : 1.00  , P : 19.18  , D : 0.27
V : 19.18  , I : 1.00  , P : 19.18  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.18  , I : 1.00  , P : 19.18  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 0.85  , P : 16.27  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.97  , I : 1.00  , P : 18.97  , D : 0.28
V : 18.97  , I : 0.90  , P : 17.07  , D : 0.28
V : 18.97  , I : 0.95  , P : 18.02  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.97  , I : 0.90  , P : 17.07  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 1.10  , P : 20.83  , D : 0.28
V : 18.94  , I : 1.15  , P : 21.78  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.18  , I : 1.05  , P : 20.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.85  , P : 16.27  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.18  , I : 1.00  , P : 19.18  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.85  , P : 16.27  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.15  , P : 22.01  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.85  , P : 16.27  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.18  , I : 1.00  , P : 19.18  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.18  , I : 1.10  , P : 21.10  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.18  , I : 0.90  , P : 17.26  , D : 0.27
V : 19.18  , I : 1.00  , P : 19.18  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.85  , P : 16.36  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.85  , P : 16.36  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.38  , I : 1.05  , P : 20.35  , D : 0.26
V : 19.38  , I : 1.00  , P : 19.38  , D : 0.26
V : 19.38  , I : 1.00  , P : 19.38  , D : 0.26
V : 19.38  , I : 1.05  , P : 20.35  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.38  , I : 0.95  , P : 18.42  , D : 0.26
V : 19.38  , I : 1.15  , P : 22.29  , D : 0.26
V : 19.38  , I : 1.10  , P : 21.32  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.38  , I : 0.90  , P : 17.45  , D : 0.26
V : 19.38  , I : 1.00  , P : 19.38  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.38  , I : 1.00  , P : 19.38  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.38  , I : 1.05  , P : 20.35  , D : 0.26
V : 19.38  , I : 0.95  , P : 18.42  , D : 0.26
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.28  , I : 1.05  , P : 20.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.18  , I : 0.90  , P : 17.26  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.18  , I : 0.90  , P : 17.26  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.18  , I : 1.05  , P : 20.14  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.18  , I : 1.05  , P : 20.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.85  , P : 16.27  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.97  , I : 1.10  , P : 20.87  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.11  , I : 0.95  , P : 18.15  , D : 0.27
V : 19.11  , I : 0.95  , P : 18.15  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.11  , I : 1.10  , P : 21.02  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.11  , I : 0.90  , P : 17.20  , D : 0.27
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 1.10  , P : 20.83  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.90  , I : 1.10  , P : 20.79  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 1.10  , P : 20.83  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.11  , I : 1.00  , P : 19.11  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.11  , I : 1.05  , P : 20.06  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.11  , I : 1.00  , P : 19.11  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.18  , I : 0.95  , P : 18.22  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.11  , I : 1.10  , P : 21.02  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.21  , I : 0.95  , P : 18.25  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.11  , I : 0.95  , P : 18.15  , D : 0.27
V : 19.11  , I : 1.00  , P : 19.11  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.11  , I : 1.00  , P : 19.11  , D : 0.27
V : 19.11  , I : 0.90  , P : 17.20  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.11  , I : 0.95  , P : 18.15  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.11  , I : 1.00  , P : 19.11  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 1.05  , P : 19.88  , D : 0.28
V : 18.94  , I : 0.85  , P : 16.09  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 1.10  , P : 20.83  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 0.90  , P : 17.04  , D : 0.28
V : 18.94  , I : 0.85  , P : 16.09  , D : 0.28
V : 18.97  , I : 1.05  , P : 19.92  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 1.00  , P : 18.94  , D : 0.28
V : 18.94  , I : 0.95  , P : 17.99  , D : 0.28
V : 18.97  , I : 1.00  , P : 18.97  , D : 0.28
V : 18.90  , I : 0.85  , P : 16.07  , D : 0.28
V : 18.94  , I : 0.85  , P : 16.09  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.11  , I : 1.00  , P : 19.11  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 0.85  , P : 16.27  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.11  , I : 0.90  , P : 17.20  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.05  , P : 20.10  , D : 0.27
V : 19.14  , I : 1.10  , P : 21.06  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.95  , P : 18.19  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.14  , I : 0.90  , P : 17.23  , D : 0.27
V : 19.14  , I : 1.00  , P : 19.14  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.10  , P : 21.17  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.85  , P : 16.36  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 0.95  , P : 18.28  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.27
V : 19.25  , I : 1.05  , P : 20.21  , D : 0.27
V : 19.25  , I : 0.90  , P : 17.32  , D : 0.27
V : 19.25  , I : 1.00  , P : 19.25  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.32  , I : 1.00  , P : 19.32  , D : 0.26
V : 19.32  , I : 0.95  , P : 18.35  , D : 0.26
V : 19.35  , I : 1.10  , P : 21.29  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.32  , I : 1.00  , P : 19.32  , D : 0.26
V : 19.35  , I : 1.05  , P : 20.32  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.35  , I : 0.85  , P : 16.45  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.32  , I : 0.95  , P : 18.35  , D : 0.26
V : 19.35  , I : 1.05  , P : 20.32  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.35  , I : 1.05  , P : 20.32  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.35  , I : 1.10  , P : 21.29  , D : 0.26
V : 19.42  , I : 0.95  , P : 18.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.42  , I : 0.95  , P : 18.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.42  , I : 0.95  , P : 18.45  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.42  , I : 0.90  , P : 17.48  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.42  , I : 0.95  , P : 18.45  , D : 0.26
V : 19.32  , I : 1.05  , P : 20.28  , D : 0.26
V : 19.32  , I : 1.05  , P : 20.28  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.35  , I : 1.05  , P : 20.32  , D : 0.26
V : 19.35  , I : 1.05  , P : 20.32  , D : 0.26
V : 19.35  , I : 1.05  , P : 20.32  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.35  , I : 1.05  , P : 20.32  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.35  , I : 0.85  , P : 16.45  , D : 0.26
V : 19.32  , I : 0.95  , P : 18.35  , D : 0.26
V : 19.32  , I : 0.95  , P : 18.35  , D : 0.26
V : 19.32  , I : 0.95  , P : 18.35  , D : 0.26
V : 19.35  , I : 0.95  , P : 18.38  , D : 0.26
V : 19.32  , I : 0.95  , P : 18.35  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.35  , I : 1.00  , P : 19.35  , D : 0.26
V : 19.35  , I : 0.90  , P : 17.42  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.42  , I : 1.00  , P : 19.42  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.42  , I : 0.80  , P : 15.54  , D : 0.26
V : 19.45  , I : 0.95  , P : 18.48  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.42  , I : 0.80  , P : 15.54  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.26
V : 19.42  , I : 0.90  , P : 17.48  , D : 0.26
V : 19.42  , I : 0.95  , P : 18.45  , D : 0.26
V : 19.45  , I : 1.00  , P : 19.45  , D : 0.26
V : 19.45  , I : 0.90  , P : 17.51  , D : 0.25
V : 19.66  , I : 1.05  , P : 20.64  , D : 0.25
V : 19.66  , I : 0.90  , P : 17.70  , D : 0.25
V : 19.66  , I : 0.95  , P : 18.68  , D : 0.25
V : 19.66  , I : 1.05  , P : 20.64  , D : 0.25
V : 19.66  , I : 0.95  , P : 18.68  , D : 0.25
V : 19.66  , I : 1.05  , P : 20.64  , D : 0.25
V : 19.66  , I : 0.95  , P : 18.68  , D : 0.25
V : 19.66  , I : 0.85  , P : 16.71  , D : 0.25
V : 19.66  , I : 0.95  , P : 18.68  , D : 0.25
V : 19.66  , I : 0.95  , P : 18.68  , D : 0.25
V : 19.66  , I : 0.95  , P : 18.68  , D : 0.25
V : 19.66  , I : 0.90  , P : 17.70  , D : 0.25
V : 19.66  , I : 1.05  , P : 20.64  , D : 0.25
V : 19.66  , I : 0.90  , P : 17.70  , D : 0.25
